month,day,births,above/below median,from http://chmullig.com/2012/06/births-by-day-of-year/
11,7,191327,above,
11,8,190110,below,
11,9,191365,above,
11,10,193452,above,
11,11,193812,above,
11,12,191641,above,
11,13,189313,below,
11,14,191286,above,
11,15,190061,below,
11,16,190978,above,
11,17,193696,above,
11,18,194612,above,
11,19,193775,above,
11,20,192775,above,
11,21,192033,above,
11,22,184076,below,
11,23,186026,below,
11,24,185885,below,
11,25,185992,below,
11,26,183490,below,
11,27,180462,below,
11,28,183631,below,
11,29,187069,below,
11,30,190619,below,
11,31,215,below,
12,1,193460,above,
12,2,193212,above,
12,3,190340,below,
12,4,188749,below,
12,5,189387,below,
12,6,187322,below,
12,7,188173,below,
12,8,192152,above,
12,9,191753,above,
12,10,191413,above,
12,11,189540,below,
12,12,191652,above,
12,13,187067,below,
12,14,191684,above,
12,15,196832,above,
12,16,198724,above,
12,17,198064,above,
12,18,197455,above,
12,19,198517,above,
12,20,195081,above,
12,21,192644,above,
12,22,186477,below,
12,23,178667,below,
12,24,165050,below,
12,25,153778,below,
12,26,175341,below,
12,27,194006,above,
12,28,201768,above,
12,29,204806,above,
12,30,206894,above,
12,31,194368,above,
